num_players,num_runs,num_hands,player_1_makes_pair
2,1,1000,63
2,2,1000,145
2,3,1000,197
2,4,1000,254
2,5,1000,290
2,6,1000,357
2,7,1000,419
2,8,1000,436
2,9,1000,528
2,10,1000,546
3,1,1000,63
3,2,1000,113
3,3,1000,181
3,4,1000,230
3,5,1000,331
3,6,1000,362
3,7,1000,435
3,8,1000,449
3,9,1000,525
3,10,1000,555
4,1,1000,63
4,2,1000,133
4,3,1000,210
4,4,1000,268
4,5,1000,294
4,6,1000,372
4,7,1000,434
4,8,1000,467
4,9,1000,519
4,10,1000,525
5,1,1000,72
5,2,1000,139
5,3,1000,188
5,4,1000,258
5,5,1000,302
5,6,1000,369
5,7,1000,429
5,8,1000,464
5,9,1000,518
5,10,1000,555
6,1,1000,61
6,2,1000,130
6,3,1000,172
6,4,1000,249
6,5,1000,307
6,6,1000,377
6,7,1000,389
6,8,1000,459
6,9,1000,536
6,10,1000,545
7,1,1000,69
7,2,1000,121
7,3,1000,175
7,4,1000,232
7,5,1000,297
7,6,1000,364
7,7,1000,411
7,8,1000,469
7,9,1000,482
7,10,1000,520
8,1,1000,63
8,2,1000,143
8,3,1000,193
8,4,1000,230
8,5,1000,312
8,6,1000,345
8,7,1000,424
8,8,1000,479
8,9,1000,486
8,10,1000,540
9,1,1000,69
9,2,1000,137
9,3,1000,181
9,4,1000,255
9,5,1000,312
9,6,1000,350
9,7,1000,420
9,8,1000,454
9,9,1000,511
9,10,1000,543
